label,z,x,y,area,mean_intensity_0,mean_intensity_1,mean_intensity_2,mean_intensity_3,cell_type,color,legend
113,4.0,69.0,744.0,1040.0,1449.4230769230774,47.625,44.23461538461538,415.0682692307692,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
116,4.0,70.0,144.0,1205.0,1115.2771784232366,32.88298755186722,38.258921161825725,272.01908713692944,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
118,4.0,72.0,719.0,881.0,1428.0454029511918,46.56186152099887,85.66174801362087,406.2429057888762,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
119,1.0,71.0,958.0,243.0,916.6255144032922,32.40329218106996,49.29218106995885,349.8436213991771,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
120,1.0,73.0,355.0,586.0,1288.9795221843005,43.994880546075095,168.85153583617748,265.3754266211604,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
121,8.0,71.0,908.0,1568.0,1068.873724489796,55.192602040816325,45.82397959183673,310.09502551020415,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
122,6.0,74.0,39.0,2021.0,768.8654131618011,25.77041068777833,33.77783275606136,308.05987135081637,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
123,6.0,76.0,595.0,2946.0,1488.1089613034626,51.583503054989826,38.92973523421588,329.6877121520706,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
124,3.0,79.0,115.0,2563.0,475.0838860710105,37.26258291065158,34.907920405774476,142.88177916504097,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
125,6.0,74.0,164.0,1839.0,1001.8711256117456,36.25883632408918,31.75040783034257,269.1451876019576,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
127,2.0,77.0,12.0,573.0,461.33158813263526,23.050610820244327,58.65794066317626,87.47294938917976,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
128,1.0,80.0,66.0,487.0,863.0225872689937,31.55441478439425,55.87474332648871,244.72484599589316,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
129,9.0,79.0,220.0,2076.0,1758.387764932563,50.51541425818883,151.0587668593449,302.1156069364162,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
130,7.0,79.0,758.0,1241.0,1471.4488315874296,52.610797743755036,38.92586623690572,373.638195004029,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
131,4.0,82.0,817.0,1704.0,1215.3286384976525,56.7206572769953,48.82276995305164,345.2805164319249,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
132,14.0,73.0,546.0,4060.0,1301.5485221674876,42.655665024630544,48.518719211822656,297.0357142857143,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
133,4.0,85.0,151.0,1447.0,975.4602626123012,36.07325501036628,33.748445058742234,231.1485832757429,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
134,11.0,82.0,610.0,3390.0,1321.5480825958705,48.941592920353976,39.33834808259587,295.4522123893805,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
135,8.0,82.0,200.0,3314.0,928.6191913095956,30.18497284248642,45.52776101388051,348.89136994568497,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
136,1.0,88.0,310.0,665.0,576.4631578947368,46.98496240601504,79.94736842105263,101.25864661654137,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
137,3.0,86.0,572.0,1407.0,1411.18763326226,55.06325515280738,40.975835110163466,271.1400142146411,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
138,12.0,85.0,844.0,5656.0,856.1594766619519,124.4437765205092,174.4474893917963,118.89161951909477,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
140,6.0,89.0,881.0,4418.0,879.4461294703485,47.3985966500679,44.62471706654596,227.79900407424168,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
141,8.0,85.0,900.0,3031.0,1027.200263939294,45.22863741339492,45.19729462223689,367.43978884856483,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
142,2.0,90.0,912.0,992.0,1154.3155241935485,49.547379032258064,79.66834677419354,347.14112903225805,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
143,3.0,88.0,238.0,997.0,1104.2497492477432,47.51354062186561,96.65195586760281,250.197592778335,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
144,7.0,90.0,521.0,3894.0,731.208782742681,39.251155624036976,86.74807395993837,144.75680534155114,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
145,4.0,86.0,770.0,1079.0,1484.2428174235406,51.555143651529185,39.032437442076,555.9814643188137,0,"(0.5529411764705883, 0.8274509803921568, 0.7803921568627451, 1.0)",0
146,6.0,87.0,169.0,2581.0,567.9496319256102,24.37039907012785,30.923285548237118,129.47229755908563,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
147,5.0,90.0,260.0,2819.0,727.5831855267827,38.47428166016318,41.950336998935796,191.30862007804183,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
148,0.0,91.0,635.0,236.0,844.7669491525422,72.66101694915254,56.072033898305094,217.5254237288136,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
149,8.0,97.0,34.0,4353.0,489.7482196186538,24.728692855501947,25.74500344589938,130.46657477601653,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
150,1.0,89.0,716.0,309.0,1247.495145631068,37.40129449838188,34.32686084142395,281.6407766990291,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
152,0.0,88.0,933.0,68.0,1084.2352941176468,59.764705882352935,41.691176470588225,410.7647058823529,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
153,2.0,94.0,54.0,1462.0,825.1361149110808,25.538987688098487,35.99247606019152,242.40492476060192,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
155,2.0,92.0,188.0,607.0,1132.3772652388798,39.33607907742999,34.253706754530484,309.2273476112026,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
156,1.0,92.0,784.0,254.0,1375.53937007874,33.0,37.6259842519685,341.07480314960634,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
157,5.0,94.0,948.0,2099.0,1274.6946164840401,40.9618866126727,44.38732729871367,322.1986660314436,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
158,4.0,93.0,96.0,1335.0,938.523595505618,32.62996254681648,28.31610486891385,304.7827715355805,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
159,2.0,96.0,335.0,639.0,1121.6369327073553,37.56338028169015,51.28794992175274,231.81377151799686,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
160,1.0,97.0,809.0,349.0,1283.5530085959886,54.94842406876791,46.054441260744994,417.2148997134671,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
161,6.0,100.0,929.0,2480.0,1248.5689516129032,47.783467741935475,37.346774193548384,371.87943548387085,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
162,6.0,104.0,551.0,3122.0,1285.2882767456758,197.0650224215247,389.4676489429853,249.48270339525945,3,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)",3
163,11.0,95.0,156.0,2265.0,570.4348785871965,23.956291390728477,28.89933774834437,118.876821192053,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
164,6.0,101.0,594.0,2675.0,1416.5128971962615,61.97271028037383,48.45158878504673,295.72822429906535,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
165,0.0,98.0,868.0,219.0,982.4931506849316,65.5296803652968,49.392694063926925,375.40182648401833,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
166,6.0,102.0,680.0,2067.0,1277.748911465893,38.958393807450406,65.83647798742139,244.10546686018384,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
167,0.0,106.0,133.0,425.0,432.44,32.27294117647059,34.34588235294117,113.34117647058822,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
168,3.0,103.0,350.0,999.0,1278.0610610610609,37.75675675675676,51.84384384384384,255.06506506506503,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
169,6.0,108.0,615.0,6249.0,753.7700432069131,79.6503440550488,66.74859977596415,121.41046567450792,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
170,3.0,102.0,733.0,956.0,1482.4069037656907,39.854602510460246,35.69874476987448,382.8985355648536,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
